player_name,career_kills,career_wins,career_revives
User_1,379649,21010,30026
User_2,357870,0,0
User_3,351847,12109,16917
User_4,282247,11058,18389
User_5,281412,17064,0
User_6,273258,23949,0
User_7,238458,0,19928
User_8,234079,12725,25544
User_9,228665,13233,32318
User_10,222504,0,0
User_11,214353,14119,53768
User_12,213352,0,0
User_13,213459,11229,18795
User_14,207112,5444,15709
User_15,204907,0,0
User_16,204860,7712,0
User_17,200826,16064,25246
User_18,199933,0,0
User_19,203954,10995,20603
User_20,196553,0,0
User_21,192487,0,0
User_22,192417,10716,19513
User_23,192113,11464,0
User_24,191775,13067,29648
User_25,193514,15604,17980
User_26,186476,9153,16642
User_27,186122,9720,33048
User_28,183647,6942,10063
User_29,183487,10866,0
User_30,182857,9298,16465
User_31,182506,0,0
User_32,178429,11585,0
User_33,178172,10809,0
User_34,177314,0,0
User_35,176505,0,0
User_36,176723,12975,0
User_37,181806,10790,16953
User_38,174932,12263,39756
User_39,174620,0,0
User_40,173633,0,0
User_41,173535,9061,18163
User_42,173419,10094,22998
User_43,177250,7647,15045
User_44,168425,11987,18278
User_45,167146,11158,0
User_46,166820,7674,13994
User_47,165954,10584,20926
User_48,166391,9012,0
User_49,164114,0,0
User_50,163286,0,0
User_51,164256,9656,17578
User_52,162689,11246,34922
User_53,162660,10393,24661
User_54,161530,13594,18270
User_55,161094,10007,13987
User_56,160147,8373,0
User_57,159636,7968,14219
User_58,158003,0,0
User_59,158112,0,0
User_60,157420,0,0
User_61,157226,11672,0
User_62,155384,0,0
User_63,155303,11195,20241
User_64,154743,9375,21351
User_65,154197,7877,12734
User_66,153509,9381,0
User_67,152929,0,0
User_68,153085,0,0
User_69,151713,0,0
User_70,151482,12104,20740
User_71,151382,0,0
User_72,151106,10738,0
User_73,158483,7231,16853
User_74,150924,9709,9475
User_75,150783,8455,15180
User_76,150125,8247,26650
User_77,150048,8560,26242
User_78,149985,5612,13253
User_79,149891,0,23948
User_80,149846,0,0
User_81,149260,11065,22899
User_82,148003,7752,14611
User_83,147801,0,0
