player_name,career_kills,career_wins,career_revives
User_1,351847,12109,16901
User_2,287983,19846,61712
User_3,269662,16175,0
User_4,263062,0,0
User_5,235493,16196,19687
User_6,234136,12725,25491
User_7,213721,14531,23696
User_8,212436,12155,19627
User_9,218786,16705,28795
User_10,202705,0,0
User_11,201927,10579,16149
User_12,199933,14083,0
User_13,196155,17787,53805
User_14,192860,0,0
User_15,190779,13399,19857
User_16,189835,14550,0
User_17,188950,18794,24178
User_18,188669,9940,18015
User_19,186775,13505,25997
User_20,186454,13416,18325
User_21,182360,14321,24417
User_22,179005,13565,17354
User_23,175374,0,28758
User_24,174859,15240,0
User_25,170398,9905,27690
User_26,168692,13608,21732
User_27,168688,14503,0
User_28,168425,11987,0
User_29,167571,0,0
User_30,167298,12023,0
User_31,166759,12227,0
User_32,164853,11098,18257
User_33,162611,8047,12371
User_34,159400,0,0
User_35,158426,0,0
User_36,155906,0,17046
User_37,159715,8161,14741
User_38,175555,0,0
User_39,150904,0,0
User_40,152148,0,0
User_41,149517,0,0
User_42,148225,13236,20707
User_43,146865,9576,0
User_44,146656,11898,16087
User_45,144901,0,0
User_46,144614,8017,0
User_47,145502,0,0
User_48,142727,9917,20518
User_49,142672,7794,0
User_50,141881,11496,17446
User_51,141169,4111,25389
User_52,142404,13738,13630
User_53,140317,8848,12731
User_54,139348,0,32023
User_55,139094,0,0
User_56,138746,0,0
User_57,138333,7177,18680
User_58,137279,10477,0
User_59,137337,8381,0
User_60,135910,8431,19193
User_61,135321,7403,22331
User_62,135155,9334,15333
User_63,135112,16106,26605
User_64,134457,0,0
User_65,133864,9126,18818
User_66,133591,0,0
User_67,132714,7904,0
User_68,132633,10372,17178
User_69,135576,0,0
User_70,132499,0,0
User_71,132190,7461,15037
User_72,131822,7820,0
User_73,131148,9079,11234
User_74,131124,9673,11622
User_75,130608,7291,17369
User_76,129240,0,0
User_77,129070,0,0
User_78,129049,0,0
User_79,128322,0,0
User_80,128267,7238,13975
User_81,127904,8809,12894
User_82,127901,9982,0
User_83,127269,5979,11157
User_84,126737,0,14351
User_85,125713,9524,0
User_86,125639,0,0
User_87,125603,0,0
User_88,125365,7808,16488
User_89,125072,0,0
User_90,124933,0,0
User_91,124272,0,0
User_92,124148,6160,7662
User_93,124387,8054,21504
User_94,123694,11215,24670
User_95,123300,0,14740
User_96,122430,0,0
User_97,122359,6603,0
User_98,122934,7864,17931
User_99,121885,0,0
User_100,121042,8964,10980
User_101,120648,7463,10933
User_102,120542,9165,25989
User_103,120359,0,0
User_104,119994,10016,25531
User_105,119904,8747,0
User_106,119792,0,0
User_107,119390,7995,9962
User_108,132809,0,0
User_109,119132,0,0
User_110,119108,0,0
User_111,119138,0,0
User_112,118358,0,0
User_113,118314,10243,16419
User_114,118296,6163,13561
User_115,123474,8312,13719
User_116,117932,6485,15086
User_117,117551,9547,13218
User_118,117541,7985,0
User_119,118440,5739,10679
User_120,116967,3947,12843
User_121,116376,0,19616
User_122,121923,8314,0
User_123,115771,0,0
User_124,115703,7493,0
User_125,115684,11151,13005
User_126,115618,0,0
User_127,120618,0,0
User_128,115578,0,0
User_129,115230,7852,12264
User_130,114950,9517,19108
User_131,114355,8836,12515
User_132,114175,11523,15548
User_133,114028,4836,14549
User_134,113890,8290,15335
User_135,113872,0,0
User_136,113939,0,0
User_137,113811,0,0
User_138,116190,0,0
User_139,113894,8057,0
User_140,113373,7815,12967
User_141,113305,7578,21403
User_142,112861,0,10259
User_143,112392,0,0
User_144,112288,7969,0
User_145,113102,7490,0
User_146,111964,0,0
User_147,112199,6534,21031
User_148,112035,0,0
User_149,116234,6067,23970
User_150,111489,0,10483
User_151,111403,7822,14032
User_152,111386,6696,13699
User_153,111190,6114,11829
User_154,111255,9413,20298
User_155,111016,8602,0
User_156,111234,7072,11941
User_157,110678,0,0
User_158,110712,5286,10336
User_159,110323,0,0
User_160,110395,7715,10544
User_161,110243,0,0
User_162,110638,0,0
User_163,110134,0,0
User_164,109882,6216,13160
User_165,109976,8066,10857
User_166,109364,0,0
User_167,109261,0,12528
User_168,109264,0,13168
User_169,109483,8246,21806
User_170,108816,0,0
User_171,108959,0,11924
User_172,108599,0,0
User_173,108391,0,0
User_174,108360,0,0
User_175,108299,5777,10336
User_176,107868,0,0
User_177,107872,5881,11687
User_178,107464,0,21014
