Damage,Kills,Games Played,Wins,legend_name,Legend_Category
1335473024,"192,425",47418,15355,Bangalore,Assault
50500034,"177,520",35645,14088,Bangalore,Assault
48186631,"172,382",32770,13041,Bangalore,Assault
45909908,"170,902",30597,12675,Bangalore,Assault
45231990,"168,326",28659,12637,Bangalore,Assault
44934583,"166,350",27171,12104,Bangalore,Assault
44317988,"162,274",27153,11816,Bangalore,Assault
42896122,"157,981",26569,11749,Bangalore,Assault
41978290,"157,477",25995,11548,Bangalore,Assault
37699061,"143,286",25267,11412,Bangalore,Assault
35803870,"129,828",25025,11187,Bangalore,Assault
34559167,"126,127",24508,10515,Bangalore,Assault
34451991,"123,720",24140,9306,Bangalore,Assault
34389997,"123,379",24008,8879,Bangalore,Assault
34003450,"122,030",23263,8623,Bangalore,Assault
30099385,"122,027",23235,8557,Bangalore,Assault
29426266,"118,236",22944,8511,Bangalore,Assault
28979045,"117,471",22835,8506,Bangalore,Assault
28967367,"115,514",22556,8377,Bangalore,Assault
27868559,"114,439",22089,8101,Bangalore,Assault
27710336,"114,116",21816,7811,Bangalore,Assault
26936426,"113,409",21675,7616,Bangalore,Assault
26936426,"112,217",21558,7559,Bangalore,Assault
26762061,"112,121",21531,7501,Bangalore,Assault
26441983,"111,128",21208,7449,Bangalore,Assault
26324565,"110,982",21204,7337,Bangalore,Assault
26250180,"109,515",21106,7285,Bangalore,Assault
26238070,"106,859",21044,7240,Bangalore,Assault
25958647,"106,010",20939,7082,Bangalore,Assault
25885508,"105,321",20408,7056,Bangalore,Assault
25775698,"105,231",20404,7045,Bangalore,Assault
25589861,"104,782",20191,7003,Bangalore,Assault
25263113,"104,774",20187,6886,Bangalore,Assault
25111523,"104,541",20080,6728,Bangalore,Assault
24568706,"104,541",20034,6557,Bangalore,Assault
24089762,"103,437",20007,6512,Bangalore,Assault
23702553,"103,022",19909,6483,Bangalore,Assault
23480928,"102,720",19836,6460,Bangalore,Assault
23282970,"102,353",19779,6433,Bangalore,Assault
23261518,"101,625",19677,6379,Bangalore,Assault
23223256,"99,931",19648,6253,Bangalore,Assault
23169834,"99,790",19324,6195,Bangalore,Assault
23102155,"98,278",19098,6146,Bangalore,Assault
23008096,"97,763",19084,6113,Bangalore,Assault
22794471,"96,189",18895,6064,Bangalore,Assault
22786132,"96,187",18426,6036,Bangalore,Assault
22680101,"96,101",18398,6035,Bangalore,Assault
22497668,"95,763",18324,6019,Bangalore,Assault
22462997,"94,430",18118,6011,Bangalore,Assault
22345488,"92,919",18030,5988,Bangalore,Assault
22330440,"92,492",17805,5948,Bangalore,Assault
22280292,"91,427",17589,5931,Bangalore,Assault
22188826,"91,358",17483,5870,Bangalore,Assault
22147060,"91,218",17297,5862,Bangalore,Assault
21926801,"90,641",17247,5822,Bangalore,Assault
21878111,"90,552",17213,5796,Bangalore,Assault
21868048,"90,320",17146,5752,Bangalore,Assault
21674088,"89,018",16941,5706,Bangalore,Assault
21601538,"87,813",16934,5704,Bangalore,Assault
21497063,"87,541",16692,5685,Bangalore,Assault
21485134,"87,062",16583,5648,Bangalore,Assault
21474836,"86,461",16557,5598,Bangalore,Assault
21474836,"86,230",16430,5537,Bangalore,Assault
21474836,"85,877",16409,5508,Bangalore,Assault
21474836,"85,002",16406,5499,Bangalore,Assault
21439984,"84,508",16392,5391,Bangalore,Assault
21433086,"83,767",16218,5372,Bangalore,Assault
21346091,"83,699",16212,5351,Bangalore,Assault
21341692,"83,457",16144,5312,Bangalore,Assault
21314790,"83,075",16129,5302,Bangalore,Assault
21277875,"82,682",16105,5287,Bangalore,Assault
21008878,"82,480",16079,5285,Bangalore,Assault
21002565,"82,145",16050,5256,Bangalore,Assault
20961572,"81,543",15942,5245,Bangalore,Assault
20926580,"80,957",15928,5185,Bangalore,Assault
20893633,"80,950",15677,5176,Bangalore,Assault
20880907,"80,571",15572,5175,Bangalore,Assault
20788071,"80,262",15527,5172,Bangalore,Assault
20745281,"80,115",15427,5151,Bangalore,Assault
20743821,"80,056",15368,5113,Bangalore,Assault
20731946,"79,756",15368,5026,Bangalore,Assault
20690980,"79,594",15354,5019,Bangalore,Assault
20491190,"79,064",15267,4995,Bangalore,Assault
20474458,"78,737",15201,4992,Bangalore,Assault
20314771,"76,793",15196,4970,Bangalore,Assault
20306764,"76,642",15181,4876,Bangalore,Assault
20232814,"75,661",15085,4840,Bangalore,Assault
20068123,"75,381",15057,4834,Bangalore,Assault
20060788,"74,662",14955,4822,Bangalore,Assault
19945714,"74,604",14836,4815,Bangalore,Assault
19944151,"74,593",14802,4791,Bangalore,Assault
19834170,"74,458",14786,4791,Bangalore,Assault
19779646,"73,920",14782,4774,Bangalore,Assault
19763699,"73,705",14780,4757,Bangalore,Assault
19751764,"73,691",14704,4745,Bangalore,Assault
19657345,"73,418",14575,4703,Bangalore,Assault
19509391,"73,385",14524,4685,Bangalore,Assault
19460872,"73,317",14473,4630,Bangalore,Assault
19440117,"73,302",14447,4613,Bangalore,Assault
19363238,"73,038",14371,4607,Bangalore,Assault
19308347,"72,470",14301,4566,Bangalore,Assault
19295428,"72,411",14271,4560,Bangalore,Assault
19263126,"72,284",14242,4557,Bangalore,Assault
19262183,"71,684",14230,4546,Bangalore,Assault
19257448,"71,639",14223,4526,Bangalore,Assault
19201102,"71,575",14161,4517,Bangalore,Assault
19186141,"71,481",14153,4488,Bangalore,Assault
19175569,"71,421",14132,4460,Bangalore,Assault
19175541,"70,705",14112,4440,Bangalore,Assault
19129307,"70,344",14108,4430,Bangalore,Assault
19100998,"70,333",14037,4423,Bangalore,Assault
19080509,"70,147",14028,4403,Bangalore,Assault
19068021,"70,090",14012,4357,Bangalore,Assault
19048916,"69,567",14009,4356,Bangalore,Assault
19043471,"69,502",13769,4309,Bangalore,Assault
18959933,"68,885",13706,4280,Bangalore,Assault
18950426,"68,667",13628,4278,Bangalore,Assault
18945416,"68,656",13621,4261,Bangalore,Assault
18934140,"68,611",13601,4238,Bangalore,Assault
18740281,"68,584",13539,4225,Bangalore,Assault
18656515,"68,505",13532,4216,Bangalore,Assault
18573927,"68,246",13525,4216,Bangalore,Assault
18568917,"68,225",13513,4201,Bangalore,Assault
18542045,"68,196",13508,4169,Bangalore,Assault
18484533,"68,196",13490,4165,Bangalore,Assault
18468353,"68,159",13399,4160,Bangalore,Assault
18414794,"68,095",13375,4157,Bangalore,Assault
18384845,"68,005",13366,4140,Bangalore,Assault
18359387,"67,949",13359,4127,Bangalore,Assault
18283146,"67,919",13317,4095,Bangalore,Assault
18282720,"67,876",13236,4092,Bangalore,Assault
18278838,"67,806",13187,4089,Bangalore,Assault
18177242,"67,370",13143,4087,Bangalore,Assault
18081167,"67,313",13120,4075,Bangalore,Assault
18043108,"67,299",13087,4072,Bangalore,Assault
18023852,"67,236",13067,4067,Bangalore,Assault
17996333,"67,235",13059,4058,Bangalore,Assault
17967917,"67,202",12984,4056,Bangalore,Assault
17952819,"67,139",12981,4052,Bangalore,Assault
17946445,"67,056",12977,4050,Bangalore,Assault
17932557,"66,503",12940,4045,Bangalore,Assault
17913167,"66,453",12919,4037,Bangalore,Assault
17891030,"66,195",12783,4037,Bangalore,Assault
17870248,"66,176",12781,4007,Bangalore,Assault
17764832,"66,128",12758,3932,Bangalore,Assault
17761567,"66,122",12748,3926,Bangalore,Assault
17749429,"66,116",12713,3910,Bangalore,Assault
17746470,"65,989",12712,3897,Bangalore,Assault
17742377,"65,947",12698,3895,Bangalore,Assault
17713820,"65,908",12690,3890,Bangalore,Assault
17666419,"65,853",12639,3873,Bangalore,Assault
17640971,"65,780",12627,3843,Bangalore,Assault
17545481,"65,541",12581,3839,Bangalore,Assault
17492525,"65,424",12548,3809,Bangalore,Assault
17346060,"65,121",12535,3808,Bangalore,Assault
17325535,"64,675",12528,3807,Bangalore,Assault
17258048,"64,663",12516,3806,Bangalore,Assault
17242662,"64,622",12507,3795,Bangalore,Assault
17194109,"64,614",12493,3790,Bangalore,Assault
17183065,"64,599",12487,3788,Bangalore,Assault
17180166,"64,316",12474,3782,Bangalore,Assault
17175715,"63,756",12447,3774,Bangalore,Assault
17153522,"63,626",12435,3771,Bangalore,Assault
17114387,"63,385",12434,3769,Bangalore,Assault
17078931,"63,246",12403,3767,Bangalore,Assault
17059631,"63,055",12399,3760,Bangalore,Assault
17034470,"63,036",12370,3759,Bangalore,Assault
17004592,"62,922",12347,3735,Bangalore,Assault
16902332,"62,896",12314,3715,Bangalore,Assault
16835017,"62,696",12271,3687,Bangalore,Assault
16774827,"62,689",12179,3685,Bangalore,Assault
16765098,"62,522",12173,3684,Bangalore,Assault
16715056,"62,447",12164,3683,Bangalore,Assault
16690661,"62,446",12151,3681,Bangalore,Assault
16637495,"62,426",12121,3672,Bangalore,Assault
16522122,"62,374",12118,3658,Bangalore,Assault
16490569,"62,267",12079,3655,Bangalore,Assault
16485150,"62,230",12060,3635,Bangalore,Assault
16481104,"62,223",12039,3634,Bangalore,Assault
16478974,"62,185",12022,3627,Bangalore,Assault
16448805,"62,165",11999,3625,Bangalore,Assault
16435062,"62,091",11984,3618,Bangalore,Assault
16415982,"62,069",11972,3615,Bangalore,Assault
16405685,"61,846",11952,3611,Bangalore,Assault
16402335,"61,680",11890,3606,Bangalore,Assault
16393198,"61,622",11885,3604,Bangalore,Assault
16390527,"61,602",11876,3602,Bangalore,Assault
16389452,"61,375",11859,3579,Bangalore,Assault
16385634,"61,345",11838,3577,Bangalore,Assault
16374879,"61,331",11814,3573,Bangalore,Assault
16342946,"61,200",11805,3565,Bangalore,Assault
16334678,"61,005",11796,3558,Bangalore,Assault
16318487,"60,991",11782,3551,Bangalore,Assault
16302938,"60,984",11756,3539,Bangalore,Assault
16301522,"60,892",11727,3524,Bangalore,Assault
16273942,"60,766",11705,3518,Bangalore,Assault
16237101,"60,322",11695,3511,Bangalore,Assault
16227415,"60,234",11682,3504,Bangalore,Assault
16196399,"60,096",11670,3480,Bangalore,Assault
16193244,"60,074",11624,3477,Bangalore,Assault
16192593,"59,987",11610,3477,Bangalore,Assault
16172070,"59,554",11590,3476,Bangalore,Assault
16151235,"59,394",11585,3473,Bangalore,Assault
16142357,"59,371",11582,3470,Bangalore,Assault
16126021,"58,727",11540,3465,Bangalore,Assault
16070630,"58,688",11528,3452,Bangalore,Assault
16069935,"58,668",11517,3448,Bangalore,Assault
16061152,"58,626",11516,3445,Bangalore,Assault
16033822,"58,579",11512,3442,Bangalore,Assault
16028031,"58,474",11491,3416,Bangalore,Assault
16013217,"58,434",11488,3413,Bangalore,Assault
15951705,"58,397",11486,3406,Bangalore,Assault
15887084,"58,354",11471,3399,Bangalore,Assault
15880025,"58,113",11456,3394,Bangalore,Assault
15852538,"57,614",11451,3394,Bangalore,Assault
15766558,"57,364",11384,3388,Bangalore,Assault
15766096,"57,355",11332,3383,Bangalore,Assault
15716568,"57,216",11309,3381,Bangalore,Assault
15715229,"57,159",11284,3381,Bangalore,Assault
15694332,"57,038",11264,3377,Bangalore,Assault
15652833,"56,999",11245,3372,Bangalore,Assault
15628296,"56,969",11236,3367,Bangalore,Assault
15584377,"56,960",11214,3359,Bangalore,Assault
15572809,"56,840",11212,3352,Bangalore,Assault
15562881,"56,783",11212,3352,Bangalore,Assault
15562175,"56,702",11210,3337,Bangalore,Assault
15555165,"56,670",11197,3336,Bangalore,Assault
15542139,"56,615",11195,3335,Bangalore,Assault
15531086,"56,605",11154,3332,Bangalore,Assault
15514964,"56,497",11148,3321,Bangalore,Assault
15471380,"56,408",11145,3316,Bangalore,Assault
15462310,"56,380",11142,3314,Bangalore,Assault
15437415,"56,370",11141,3313,Bangalore,Assault
15430201,"56,355",11135,3299,Bangalore,Assault
15403556,"56,247",11133,3279,Bangalore,Assault
15391159,"56,026",11103,3279,Bangalore,Assault
15374896,"55,921",11094,3267,Bangalore,Assault
15364357,"55,759",11067,3267,Bangalore,Assault
15360657,"55,671",11058,3266,Bangalore,Assault
15357885,"55,578",11039,3262,Bangalore,Assault
15341378,"55,490",11018,3254,Bangalore,Assault
15339739,"55,420",11005,3247,Bangalore,Assault
15339370,"55,279",11002,3246,Bangalore,Assault
15275977,"55,225",10995,3236,Bangalore,Assault
15265853,"55,186",10977,3232,Bangalore,Assault
15252098,"55,029",10968,3232,Bangalore,Assault
15243507,"54,996",10965,3209,Bangalore,Assault
15231798,"54,890",10939,3207,Bangalore,Assault
15220499,"54,855",10927,3206,Bangalore,Assault
15220347,"54,711",10908,3203,Bangalore,Assault
15219561,"54,697",10901,3196,Bangalore,Assault
15195369,"54,660",10882,3194,Bangalore,Assault
15190558,"54,659",10870,3192,Bangalore,Assault
15189751,"54,626",10858,3189,Bangalore,Assault
15185341,"54,522",10846,3186,Bangalore,Assault
